Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
236,Central Conn. St. (NEC),32,10-22,"1,092",34.1,"1,116",34.9,-0.8
217,Central Mich. (MAC),31,10-21,"1,096",35.4,"1,106",35.7,-0.3
159,Charleston So. (Big South),31,10-21,"1,091",35.2,"1,048",33.8,1.4
197,Charlotte (C-USA),32,18-14,957,29.9,949,29.7,0.2
112,Chattanooga (SoCon),35,18-17,"1,268",36.2,"1,185",33.9,2.4
151,Chicago St. (DI Independent),31,11-20,"1,090",35.2,"1,037",33.5,1.7
125,Cincinnati (AAC),33,21-12,"1,217",36.9,"1,147",34.8,2.1
131,Clemson (ACC),33,23-10,"1,156",35,"1,088",33,2.1
184,Cleveland St. (Horizon),34,21-13,"1,213",35.7,"1,196",35.2,0.5
146,Coastal Carolina (Sun Belt),31,11-20,"1,153",37.2,"1,098",35.4,1.8
11,Col. of Charleston (CAA),34,31-3,"1,377",40.5,"1,149",33.8,6.7
105,Colgate (Patriot),34,26-8,"1,155",34,"1,069",31.4,2.5
292,Colorado St. (Mountain West),33,15-18,"1,014",30.7,"1,093",33.1,-2.4
59,Colorado (Pac-12),33,17-16,"1,231",37.3,"1,107",33.5,3.8
336,Columbia (Ivy League),29,7-22,998,34.4,"1,145",39.5,-5.1
352,Coppin St. (MEAC),32,9-23,974,30.4,"1,325",41.4,-11
204,Cornell (Ivy League),28,17-11,964,34.4,964,34.4,0
59,Creighton (Big East),33,21-12,"1,227",37.2,"1,103",33.4,3.8
218,CSU Bakersfield (Big West),33,11-22,"1,055",32,"1,067",32.3,-0.4
278,CSUN (Big West),32,7-25,"1,066",33.3,"1,126",35.2,-1.9
229,Dartmouth (Ivy League),28,10-18,976,34.9,993,35.5,-0.6
273,Davidson (Atlantic 10),32,16-16,"1,054",32.9,"1,109",34.7,-1.7
31,Dayton (Atlantic 10),34,22-12,"1,229",36.1,"1,057",31.1,5.1
194,Delaware St. (MEAC),30,6-24,"1,047",34.9,"1,038",34.6,0.3
315,Delaware (CAA),33,17-16,"1,069",32.4,"1,175",35.6,-3.2
46,Denver (Summit League),32,15-17,"1,126",35.2,995,31.1,4.1
343,DePaul (Big East),33,10-23,"1,070",32.4,"1,273",38.6,-6.2
71,Detroit Mercy (Horizon),33,14-19,"1,212",36.7,"1,097",33.2,3.5
79,Drake (MVC),34,27-7,"1,215",35.7,"1,105",32.5,3.2
120,Drexel (CAA),32,17-15,"1,120",35,"1,051",32.8,2.2
5,Duke (ACC),34,26-8,"1,316",38.7,"1,041",30.6,8.1
231,Duquesne (Atlantic 10),32,20-12,"1,145",35.8,"1,165",36.4,-0.6
125,East Carolina (AAC),33,16-17,"1,223",37.1,"1,153",34.9,2.1
327,Eastern Ill. (OVC),31,9-22,"1,052",33.9,"1,175",37.9,-4
102,Eastern Ky. (ASUN),33,20-13,"1,329",40.3,"1,244",37.7,2.6
340,Eastern Mich. (MAC),31,8-23,974,31.4,"1,150",37.1,-5.7
28,Eastern Wash. (Big Sky),32,22-10,"1,152",36,988,30.9,5.1
287,Elon (CAA),32,8-24,"1,079",33.7,"1,152",36,-2.3
149,ETSU (SoCon),32,12-20,"1,122",35.1,"1,066",33.3,1.8
349,Evansville (MVC),32,5-27,"1,004",31.4,"1,222",38.2,-6.8
222,Fairfield (MAAC),31,13-18,"1,045",33.7,"1,060",34.2,-0.5
177,FDU (NEC),34,19-15,"1,162",34.2,"1,137",33.4,0.7
227,FGCU (ASUN),32,17-15,"1,107",34.6,"1,125",35.2,-0.6
346,FIU (C-USA),32,14-18,"1,008",31.5,"1,217",38,-6.5
20,Fla. Atlantic (C-USA),34,31-3,"1,315",38.7,"1,113",32.7,5.9
308,Florida A&M (SWAC),29,7-22,953,32.9,"1,042",35.9,-3.1
324,Florida St. (ACC),32,9-23,"1,006",31.4,"1,128",35.2,-3.8
323,Florida (SEC),32,16-16,"1,114",34.8,"1,235",38.6,-3.8
95,Fordham (Atlantic 10),33,25-8,"1,219",36.9,"1,127",34.2,2.8
291,Fresno St. (Mountain West),31,11-20,938,30.3,"1,012",32.6,-2.4
107,Furman (SoCon),34,27-7,"1,207",35.5,"1,124",33.1,2.4
198,Ga. Southern (Sun Belt),33,17-16,"1,165",35.3,"1,157",35.1,0.2
66,Gardner-Webb (Big South),31,15-16,"1,097",35.4,985,31.8,3.6
76,George Mason (Atlantic 10),33,20-13,"1,180",35.8,"1,071",32.5,3.3
214,George Washington (Atlantic 10),32,16-16,"1,118",34.9,"1,126",35.2,-0.2
261,Georgetown (Big East),32,7-25,"1,151",36,"1,196",37.4,-1.4
154,Georgia St. (Sun Belt),31,10-21,"1,070",34.5,"1,021",32.9,1.6
272,Georgia Tech (ACC),33,15-18,"1,155",35,"1,211",36.7,-1.7
200,Georgia (SEC),32,16-16,"1,145",35.8,"1,138",35.6,0.2
29,Gonzaga (WCC),33,28-5,"1,204",36.5,"1,036",31.4,5.1
133,Grambling (SWAC),33,24-9,"1,196",36.2,"1,129",34.2,2
73,Grand Canyon (WAC),35,24-11,"1,292",36.9,"1,172",33.5,3.4
351,Green Bay (Horizon),32,3-29,905,28.3,"1,169",36.5,-8.2
334,Hampton (CAA),32,8-24,"1,098",34.3,"1,243",38.8,-4.5
309,Hartford (DI Independent),28,5-23,886,31.6,972,34.7,-3.1
47,Harvard (Ivy League),28,14-14,"1,015",36.2,902,32.2,4
87,Hawaii (Big West),33,22-11,"1,165",35.3,"1,064",32.2,3.1
201,High Point (Big South),31,14-17,"1,179",38,"1,174",37.9,0.2
299,Hofstra (CAA),33,24-9,"1,120",33.9,"1,206",36.5,-2.6
342,Holy Cross (Patriot),32,10-22,"1,040",32.5,"1,234",38.6,-6.1
234,Houston Christian (Southland),32,10-22,"1,097",34.3,"1,118",34.9,-0.7
8,Houston (AAC),34,31-3,"1,319",38.8,"1,071",31.5,7.3
98,Howard (MEAC),34,22-12,"1,217",35.8,"1,124",33.1,2.7
289,Idaho St. (Big Sky),32,11-21,"1,005",31.4,"1,079",33.7,-2.3
300,Idaho (Big Sky),32,10-22,979,30.6,"1,063",33.2,-2.6
152,Illinois St. (MVC),32,11-21,"1,045",32.7,992,31,1.7
40,Illinois (Big Ten),32,20-12,"1,214",37.9,"1,072",33.5,4.4
130,Indiana St. (MVC),34,22-12,"1,175",34.6,"1,104",32.5,2.1
123,Indiana (Big Ten),33,22-11,"1,180",35.8,"1,109",33.6,2.2
167,Iona (MAAC),34,27-7,"1,216",35.8,"1,178",34.6,1.1
74,Iowa St. (Big 12),32,19-13,"1,074",33.6,966,30.2,3.4
149,Iowa (Big Ten),32,19-13,"1,163",36.3,"1,107",34.6,1.8
259,IUPUI (Horizon),32,5-27,"1,011",31.6,"1,055",33,-1.4
155,Jackson St. (SWAC),33,14-19,"1,137",34.5,"1,086",32.9,1.5
52,Jacksonville St. (ASUN),31,13-18,"1,117",36,994,32.1,4
115,Jacksonville (ASUN),29,13-16,968,33.4,901,31.1,2.3
55,James Madison (Sun Belt),33,22-11,"1,257",38.1,"1,128",34.2,3.9
62,Kansas City (Summit League),32,11-21,"1,183",37,"1,065",33.3,3.7
118,Kansas St. (Big 12),32,23-9,"1,140",35.6,"1,069",33.4,2.2
171,Kansas (Big 12),34,27-7,"1,221",35.9,"1,184",34.8,1.1
161,Kennesaw St. (ASUN),34,26-8,"1,196",35.2,"1,152",33.9,1.3
180,Kent St. (MAC),34,28-6,"1,207",35.5,"1,184",34.8,0.7
3,Kentucky (SEC),32,21-11,"1,247",39,966,30.2,8.8
233,La Salle (Atlantic 10),34,15-19,"1,217",35.8,"1,239",36.4,-0.6
295,Lafayette (Patriot),34,11-23,"1,106",32.5,"1,194",35.1,-2.6
