Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
120,Wichita St. (AAC),32,17-15,"1,163",36.3,"1,094",34.2,2.2
223,William & Mary (CAA),33,13-20,"1,095",33.2,"1,111",33.7,-0.5
306,Winthrop (Big South),32,15-17,993,31,"1,089",34,-3
328,Wisconsin (Big Ten),31,17-14,968,31.2,"1,093",35.3,-4
137,Wofford (SoCon),33,17-16,"1,088",33,"1,023",31,2
117,Wright St. (Horizon),33,18-15,"1,212",36.7,"1,138",34.5,2.2
244,Wyoming (Mountain West),31,9-22,994,32.1,"1,024",33,-1
22,Xavier (Big East),34,25-9,"1,280",37.6,"1,084",31.9,5.8
17,Yale (Ivy League),29,21-8,"1,095",37.8,916,31.6,6.2
95,Youngstown St. (Horizon),33,24-9,"1,170",35.5,"1,078",32.7,2.8
