Rank,Team,GM,W-L,OPP PTS,OPP PPG
218,Massachusetts (Atlantic 10),31,15-16,"2,214",71.4
310,McNeese (Southland),34,11-23,"2,565",75.4
230,Memphis (AAC),34,26-8,"2,446",71.9
85,Mercer (SoCon),33,14-19,"2,211",67
242,Miami (FL) (ACC),32,25-7,"2,308",72.1
294,Miami (OH) (MAC),32,12-20,"2,385",74.5
97,Michigan St. (Big Ten),31,19-12,"2,089",67.4
154,Michigan (Big Ten),32,17-15,"2,221",69.4
107,Middle Tenn. (C-USA),33,19-14,"2,236",67.8
280,Milwaukee (Horizon),32,21-11,"2,363",73.8
205,Minnesota (Big Ten),31,9-22,"2,202",71
10,Mississippi St. (SEC),33,21-12,"2,013",61
299,Mississippi Val. (SWAC),32,5-27,"2,392",74.8
26,Missouri St. (MVC),32,17-15,"2,021",63.2
296,Missouri (SEC),33,24-9,"2,461",74.6
298,Monmouth (CAA),33,7-26,"2,466",74.7
71,Montana St. (Big Sky),34,25-9,"2,265",66.6
119,Montana (Big Sky),31,17-14,"2,114",68.2
69,Morehead St. (OVC),32,21-11,"2,125",66.4
245,Morgan St. (MEAC),31,15-16,"2,242",72.3
87,Mount St. Mary's (MAAC),33,13-20,"2,212",67
234,Murray St. (MVC),32,17-15,"2,305",72
279,N.C. A&T (CAA),32,13-19,"2,362",73.8
57,N.C. Central (MEAC),30,18-12,"1,977",65.9
39,Navy (Patriot),31,18-13,"2,013",64.9
196,NC State (ACC),33,23-10,"2,336",70.8
167,Nebraska (Big Ten),32,16-16,"2,236",69.9
82,Nevada (Mountain West),32,22-10,"2,140",66.9
88,New Hampshire (America East),30,15-15,"2,011",67
227,New Mexico St. (WAC),24,9-15,"1,720",71.7
283,New Mexico (Mountain West),33,22-11,"2,442",74
343,New Orleans (Southland),32,12-20,"2,536",79.2
58,Niagara (MAAC),31,16-15,"2,044",65.9
257,Nicholls (Southland),31,16-15,"2,253",72.7
301,NIU (MAC),32,13-19,"2,401",75
258,NJIT (America East),30,7-23,"2,182",72.7
134,Norfolk St. (MEAC),33,22-11,"2,264",68.6
289,North Ala. (ASUN),32,18-14,"2,380",74.4
199,North Carolina (ACC),33,20-13,"2,340",70.9
268,North Dakota St. (Summit League),33,16-17,"2,414",73.2
282,North Dakota (Summit League),33,13-20,"2,438",73.9
336,North Florida (ASUN),31,14-17,"2,405",77.6
1,North Texas (C-USA),33,26-7,"1,839",55.7
227,Northeastern (CAA),30,10-20,"2,150",71.7
297,Northern Ariz. (Big Sky),35,12-23,"2,615",74.7
334,Northern Colo. (Big Sky),32,12-20,"2,480",77.5
27,Northern Ky. (Horizon),34,22-12,"2,161",63.6
235,Northwestern St. (Southland),33,22-11,"2,378",72.1
18,Northwestern (Big Ten),32,21-11,"1,999",62.5
239,Notre Dame (ACC),32,11-21,"2,307",72.1
322,Oakland (Horizon),32,13-19,"2,442",76.3
141,Ohio St. (Big Ten),35,16-19,"2,414",69
267,Ohio (MAC),33,19-14,"2,413",73.1
63,Oklahoma St. (Big 12),33,18-15,"2,181",66.1
100,Oklahoma (Big 12),32,15-17,"2,161",67.5
64,Old Dominion (Sun Belt),31,19-12,"2,052",66.2
146,Ole Miss (SEC),33,12-21,"2,279",69.1
320,Omaha (Summit League),32,9-23,"2,438",76.2
174,Oral Roberts (Summit League),34,30-4,"2,384",70.1
85,Oregon St. (Pac-12),32,11-21,"2,144",67
89,Oregon (Pac-12),33,19-14,"2,213",67.1
338,Pacific (WCC),33,15-18,"2,565",77.7
122,Penn St. (Big Ten),35,22-13,"2,394",68.4
233,Penn (Ivy League),30,17-13,"2,160",72
348,Pepperdine (WCC),31,9-22,"2,520",81.3
186,Pittsburgh (ACC),33,22-11,"2,326",70.5
311,Portland St. (Big Sky),31,12-19,"2,340",75.5
