Rank,Team,GM,W-L,PTS,PPG
306,New Hampshire (America East),30,15-15,"1,992",66.4
126,New Mexico St. (WAC),24,9-15,"1,769",73.7
13,New Mexico (Mountain West),33,22-11,"2,680",81.2
138,New Orleans (Southland),32,12-20,"2,340",73.1
322,Niagara (MAAC),31,16-15,"2,016",65
81,Nicholls (Southland),31,16-15,"2,344",75.6
170,NIU (MAC),32,13-19,"2,304",72
292,NJIT (America East),30,7-23,"2,008",66.9
80,Norfolk St. (MEAC),33,22-11,"2,501",75.8
104,North Ala. (ASUN),32,18-14,"2,396",74.9
74,North Carolina (ACC),33,20-13,"2,514",76.2
149,North Dakota St. (Summit League),33,16-17,"2,404",72.8
167,North Dakota (Summit League),33,13-20,"2,380",72.1
71,North Florida (ASUN),31,14-17,"2,363",76.2
329,North Texas (C-USA),33,26-7,"2,119",64.2
318,Northeastern (CAA),30,10-20,"1,959",65.3
125,Northern Ariz. (Big Sky),35,12-23,"2,581",73.7
129,Northern Colo. (Big Sky),32,12-20,"2,355",73.6
263,Northern Ky. (Horizon),34,22-12,"2,320",68.2
110,Northwestern St. (Southland),33,22-11,"2,463",74.6
274,Northwestern (Big Ten),32,21-11,"2,165",67.7
222,Notre Dame (ACC),32,11-21,"2,227",69.6
131,Oakland (Horizon),32,13-19,"2,347",73.3
156,Ohio St. (Big Ten),35,16-19,"2,538",72.5
27,Ohio (MAC),33,19-14,"2,602",78.8
259,Oklahoma St. (Big 12),33,18-15,"2,259",68.5
274,Oklahoma (Big 12),32,15-17,"2,165",67.7
295,Old Dominion (Sun Belt),31,19-12,"2,073",66.9
280,Ole Miss (SEC),33,12-21,"2,227",67.5
255,Omaha (Summit League),32,9-23,"2,192",68.5
3,Oral Roberts (Summit League),34,30-4,"2,864",84.2
346,Oregon St. (Pac-12),32,11-21,"1,959",61.2
193,Oregon (Pac-12),33,19-14,"2,332",70.7
79,Pacific (WCC),33,15-18,"2,502",75.8
161,Penn St. (Big Ten),35,22-13,"2,531",72.3
100,Penn (Ivy League),30,17-13,"2,249",75
40,Pepperdine (WCC),31,9-22,"2,417",78
75,Pittsburgh (ACC),33,22-11,"2,512",76.1
71,Portland St. (Big Sky),31,12-19,"2,363",76.2
43,Portland (WCC),33,14-19,"2,566",77.8
273,Prairie View (SWAC),32,13-19,"2,168",67.8
337,Presbyterian (Big South),32,5-27,"2,021",63.2
76,Princeton (Ivy League),29,21-8,"2,204",76
36,Providence (Big East),32,21-11,"2,499",78.1
123,Purdue Fort Wayne (Horizon),32,17-15,"2,364",73.9
