Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
279,Georgia (SEC),32,16-16,"2,193",68.5,"2,289",71.5,-3
2,Gonzaga (WCC),33,28-5,"2,888",87.5,"2,406",72.9,14.6
73,Grambling (SWAC),33,24-9,"2,276",69,"2,054",62.2,6.7
39,Grand Canyon (WAC),35,24-11,"2,636",75.3,"2,339",66.8,8.5
352,Green Bay (Horizon),32,3-29,"1,898",59.3,"2,447",76.5,-17.2
338,Hampton (CAA),32,8-24,"2,183",68.2,"2,481",77.5,-9.3
334,Hartford (DI Independent),28,5-23,"1,757",62.8,"1,991",71.1,-8.4
174,Harvard (Ivy League),28,14-14,"1,914",68.4,"1,858",66.4,2
103,Hawaii (Big West),33,22-11,"2,208",66.9,"2,039",61.8,5.1
268,High Point (Big South),31,14-17,"2,312",74.6,"2,392",77.2,-2.6
30,Hofstra (CAA),33,24-9,"2,466",74.7,"2,159",65.4,9.3
313,Holy Cross (Patriot),32,10-22,"2,136",66.8,"2,324",72.6,-5.9
309,Houston Christian (Southland),32,10-22,"2,482",77.6,"2,658",83.1,-5.5
1,Houston (AAC),34,31-3,"2,551",75,"1,921",56.5,18.5
139,Howard (MEAC),34,22-12,"2,566",75.5,"2,446",71.9,3.5
254,Idaho St. (Big Sky),32,11-21,"2,213",69.2,"2,272",71,-1.8
211,Idaho (Big Sky),32,10-22,"2,335",73,"2,332",72.9,0.1
295,Illinois St. (MVC),32,11-21,"2,127",66.5,"2,255",70.5,-4
50,Illinois (Big Ten),32,20-12,"2,389",74.7,"2,143",67,7.7
25,Indiana St. (MVC),34,22-12,"2,700",79.4,"2,356",69.3,10.1
74,Indiana (Big Ten),33,22-11,"2,476",75,"2,259",68.5,6.6
16,Iona (MAAC),34,27-7,"2,595",76.4,"2,210",65,11.3
89,Iowa St. (Big 12),32,19-13,"2,190",68.4,"2,008",62.8,5.7
85,Iowa (Big Ten),32,19-13,"2,567",80.2,"2,381",74.4,5.8
344,IUPUI (Horizon),32,5-27,"2,089",65.3,"2,456",76.8,-11.5
315,Jackson St. (SWAC),33,14-19,"2,232",67.6,"2,429",73.6,-6
221,Jacksonville St. (ASUN),31,13-18,"2,166",69.9,"2,178",70.3,-0.4
198,Jacksonville (ASUN),29,13-16,"1,837",63.3,"1,816",62.6,0.7
13,James Madison (Sun Belt),33,22-11,"2,658",80.5,"2,246",68.1,12.5
301,Kansas City (Summit League),32,11-21,"2,060",64.4,"2,199",68.7,-4.3
76,Kansas St. (Big 12),32,23-9,"2,416",75.5,"2,209",69,6.5
69,Kansas (Big 12),34,27-7,"2,548",74.9,"2,310",67.9,7
80,Kennesaw St. (ASUN),34,26-8,"2,559",75.3,"2,343",68.9,6.4
19,Kent St. (MAC),34,28-6,"2,605",76.6,"2,234",65.7,10.9
66,Kentucky (SEC),32,21-11,"2,402",75.1,"2,177",68,7
274,La Salle (Atlantic 10),34,15-19,"2,374",69.8,"2,468",72.6,-2.8
288,Lafayette (Patriot),34,11-23,"2,120",62.4,"2,232",65.6,-3.3
322,Lamar University (Southland),31,9-22,"2,104",67.9,"2,311",74.5,-6.7
205,Lehigh (Patriot),30,16-14,"2,094",69.8,"2,082",69.4,0.4
3,Liberty (ASUN),34,26-8,"2,556",75.2,"2,062",60.6,14.5
97,Lipscomb (ASUN),33,20-13,"2,521",76.4,"2,343",71,5.4
295,Little Rock (OVC),31,10-21,"2,337",75.4,"2,461",79.4,-4
349,LIU (NEC),29,3-26,"1,935",66.7,"2,319",80,-13.2
168,LMU (CA) (WCC),31,19-12,"2,335",75.3,"2,265",73.1,2.3
172,Long Beach St. (Big West),33,17-16,"2,524",76.5,"2,455",74.4,2.1
70,Longwood (Big South),32,20-12,"2,341",73.2,"2,119",66.2,6.9
176,Louisiana Tech (C-USA),33,15-18,"2,383",72.2,"2,320",70.3,1.9
43,Louisiana (Sun Belt),33,26-7,"2,575",78,"2,304",69.8,8.2
346,Louisville (ACC),32,4-28,"2,046",63.9,"2,425",75.8,-11.8
306,Loyola Chicago (Atlantic 10),31,10-21,"2,089",67.4,"2,247",72.5,-5.1
289,Loyola Maryland (Patriot),33,13-20,"2,222",67.3,"2,331",70.6,-3.3
285,LSU (SEC),33,14-19,"2,231",67.6,"2,334",70.7,-3.1
244,Maine (America East),30,13-17,"2,054",68.5,"2,091",69.7,-1.2
286,Manhattan (MAAC),30,12-18,"2,014",67.2,"2,110",70.4,-3.2
271,Marist (MAAC),33,13-20,"2,110",63.9,"2,199",66.7,-2.7
29,Marquette (Big East),34,28-6,"2,718",79.9,"2,400",70.6,9.4
22,Marshall (Sun Belt),32,24-8,"2,616",81.8,"2,281",71.3,10.5
61,Maryland (Big Ten),33,21-12,"2,322",70.4,"2,084",63.2,7.2
249,Massachusetts (Atlantic 10),31,15-16,"2,163",69.8,"2,214",71.4,-1.6
319,McNeese (Southland),34,11-23,"2,352",69.2,"2,565",75.4,-6.3
47,Memphis (AAC),34,26-8,"2,713",79.8,"2,446",71.9,7.9
