Rank,Team,GM,W-L,ST,STPG
254,Siena (MAAC),32,17-15,182,5.7
120,SIUE (OVC),33,19-14,228,6.9
104,SMU (AAC),32,10-22,226,7.1
221,South Alabama (Sun Belt),35,19-16,212,6.1
89,South Carolina St. (MEAC),31,5-26,224,7.2
324,South Carolina (SEC),32,11-21,157,4.9
300,South Dakota St. (Summit League),32,19-13,166,5.2
343,South Dakota (Summit League),31,12-19,138,4.5
168,South Fla. (AAC),32,14-18,207,6.5
127,Southeast Mo. St. (OVC),35,19-16,240,6.9
86,Southeastern La. (Southland),32,18-14,233,7.3
106,Southern California (Pac-12),32,22-10,225,7
91,Southern Ill. (MVC),33,23-10,238,7.2
33,Southern Miss. (Sun Belt),32,25-7,267,8.3
24,Southern U. (SWAC),32,15-17,278,8.7
76,Southern Utah (WAC),34,22-12,252,7.4
110,St. Bonaventure (Atlantic 10),32,14-18,224,7
74,St. Francis Brooklyn (NEC),30,14-16,223,7.4
39,St. John's (NY) (Big East),33,18-15,272,8.2
251,Stanford (Pac-12),33,14-19,188,5.7
309,Stetson (ASUN),30,17-13,153,5.1
348,Stony Brook (CAA),33,11-22,144,4.4
67,Syracuse (ACC),32,17-15,241,7.5
39,TCU (Big 12),33,21-12,272,8.2
318,Temple (AAC),32,16-16,159,5
231,Tennessee St. (OVC),32,18-14,187,5.8
194,Tennessee Tech (OVC),33,16-17,207,6.3
37,Tennessee (SEC),33,23-10,273,8.3
130,Texas A&M (SEC),34,25-9,232,6.8
150,Texas Southern (SWAC),34,14-20,227,6.7
192,Texas St. (Sun Belt),35,16-19,220,6.3
85,Texas Tech (Big 12),32,16-16,234,7.3
45,Texas (Big 12),34,26-8,274,8.1
271,The Citadel (SoCon),32,10-22,176,5.5
130,Toledo (MAC),34,27-7,232,6.8
203,Towson (CAA),33,21-12,205,6.2
23,Troy (Sun Belt),33,20-13,288,8.7
26,Tulane (AAC),31,20-11,262,8.5
277,Tulsa (AAC),30,5-25,164,5.5
41,UAB (C-USA),34,25-9,277,8.1
245,UAlbany (America East),31,8-23,178,5.7
102,UC Davis (Big West),32,18-14,227,7.1
118,UC Irvine (Big West),34,23-11,236,6.9
304,UC Riverside (Big West),34,22-12,175,5.1
171,UC Santa Barbara (Big West),34,27-7,219,6.4
78,UCF (AAC),32,18-14,237,7.4
27,UCLA (Pac-12),34,29-5,287,8.4
161,UConn (Big East),33,25-8,216,6.5
173,UIC (MVC),32,12-20,206,6.4
32,UIW (Southland),31,12-19,259,8.4
125,ULM (Sun Belt),32,11-21,220,6.9
113,UMass Lowell (America East),34,26-8,237,7
260,UMBC (America East),32,18-14,180,5.6
1,UMES (MEAC),31,18-13,345,11.1
185,UNC Asheville (Big South),34,27-7,216,6.4
97,UNC Greensboro (SoCon),32,20-12,228,7.1
136,UNCW (CAA),34,24-10,230,6.8
180,UNI (MVC),32,14-18,204,6.4
9,UNLV (Mountain West),32,19-13,291,9.1
79,USC Upstate (Big South),31,16-15,229,7.4
180,UT Arlington (WAC),32,11-21,204,6.4
64,UT Martin (OVC),33,19-14,249,7.5
315,Utah St. (Mountain West),34,26-8,170,5
157,Utah Valley (WAC),33,25-8,218,6.6
313,Utah (Pac-12),32,17-15,161,5
12,UTEP (C-USA),32,14-18,288,9
330,UTRGV (WAC),32,15-17,151,4.7
350,UTSA (C-USA),32,10-22,137,4.3
231,Valparaiso (MVC),32,11-21,187,5.8
316,Vanderbilt (SEC),34,20-14,169,5
14,VCU (Atlantic 10),34,27-7,304,8.9
227,Vermont (America East),33,23-10,197,6
262,Villanova (Big East),33,17-16,185,5.6
298,Virginia Tech (ACC),33,19-14,174,5.3
122,Virginia (ACC),32,25-7,221,6.9
285,VMI (SoCon),32,7-25,172,5.4
140,Wagner (NEC),28,15-13,189,6.8
222,Wake Forest (ACC),33,19-14,199,6
329,Washington St. (Pac-12),33,17-16,157,4.8
125,Washington (Pac-12),32,16-16,220,6.9
219,Weber St. (Big Sky),33,18-15,200,6.1
146,West Virginia (Big 12),33,19-14,221,6.7
281,Western Caro. (SoCon),33,18-15,179,5.4
235,Western Ill. (Summit League),30,16-14,174,5.8
205,Western Ky. (C-USA),33,17-16,204,6.2
335,Western Mich. (MAC),31,8-23,143,4.6
186,Wichita St. (AAC),32,17-15,203,6.3
222,William & Mary (CAA),33,13-20,199,6
305,Winthrop (Big South),32,15-17,164,5.1
213,Wisconsin (Big Ten),31,17-14,189,6.1
251,Wofford (SoCon),33,17-16,188,5.7
194,Wright St. (Horizon),33,18-15,207,6.3
325,Wyoming (Mountain West),31,9-22,151,4.9
163,Xavier (Big East),34,25-9,222,6.5
191,Yale (Ivy League),29,21-8,183,6.3
108,Youngstown St. (Horizon),33,24-9,232,7
