Rank,Team,GM,W-L,TO,TOPG
343,IUPUI (Horizon),32,5-27,506,15.8
340,Jackson St. (SWAC),33,14-19,514,15.6
253,Jacksonville St. (ASUN),31,13-18,410,13.2
77,Jacksonville (ASUN),29,13-16,333,11.5
249,James Madison (Sun Belt),33,22-11,435,13.2
272,Kansas City (Summit League),32,11-21,432,13.5
317,Kansas St. (Big 12),32,23-9,459,14.3
179,Kansas (Big 12),34,27-7,420,12.4
186,Kennesaw St. (ASUN),34,26-8,423,12.4
71,Kent St. (MAC),34,28-6,389,11.4
94,Kentucky (SEC),32,21-11,373,11.7
195,La Salle (Atlantic 10),34,15-19,427,12.6
92,Lafayette (Patriot),34,11-23,396,11.6
314,Lamar University (Southland),31,9-22,441,14.2
106,Lehigh (Patriot),30,16-14,353,11.8
21,Liberty (ASUN),34,26-8,352,10.4
148,Lipscomb (ASUN),33,20-13,399,12.1
271,Little Rock (OVC),31,10-21,418,13.5
351,LIU (NEC),29,3-26,475,16.4
220,LMU (CA) (WCC),31,19-12,397,12.8
309,Long Beach St. (Big West),33,17-16,466,14.1
120,Longwood (Big South),32,20-12,380,11.9
286,Louisiana Tech (C-USA),33,15-18,451,13.7
154,Louisiana (Sun Belt),33,26-7,401,12.2
331,Louisville (ACC),32,4-28,478,14.9
332,Loyola Chicago (Atlantic 10),31,10-21,464,15
274,Loyola Maryland (Patriot),33,13-20,446,13.5
171,LSU (SEC),33,14-19,405,12.3
182,Maine (America East),30,13-17,371,12.4
277,Manhattan (MAAC),30,12-18,406,13.5
122,Marist (MAAC),33,13-20,392,11.9
34,Marquette (Big East),34,28-6,365,10.7
89,Marshall (Sun Belt),32,24-8,372,11.6
24,Maryland (Big Ten),33,21-12,347,10.5
315,Massachusetts (Atlantic 10),31,15-16,443,14.3
327,McNeese (Southland),34,11-23,499,14.7
272,Memphis (AAC),34,26-8,459,13.5
97,Mercer (SoCon),33,14-19,385,11.7
67,Miami (FL) (ACC),32,25-7,363,11.3
283,Miami (OH) (MAC),32,12-20,436,13.6
41,Michigan St. (Big Ten),31,19-12,337,10.9
18,Michigan (Big Ten),32,17-15,327,10.2
256,Middle Tenn. (C-USA),33,19-14,439,13.3
335,Milwaukee (Horizon),32,21-11,486,15.2
229,Minnesota (Big Ten),31,9-22,401,12.9
212,Mississippi St. (SEC),33,21-12,420,12.7
349,Mississippi Val. (SWAC),32,5-27,518,16.2
173,Missouri St. (MVC),32,17-15,393,12.3
62,Missouri (SEC),33,24-9,373,11.3
321,Monmouth (CAA),33,7-26,476,14.4
101,Montana St. (Big Sky),34,25-9,399,11.7
56,Montana (Big Sky),31,17-14,347,11.2
158,Morehead St. (OVC),32,21-11,389,12.2
348,Morgan St. (MEAC),31,15-16,500,16.1
284,Mount St. Mary's (MAAC),33,13-20,450,13.6
42,Murray St. (MVC),32,17-15,349,10.9
140,N.C. A&T (CAA),32,13-19,385,12
338,N.C. Central (MEAC),30,18-12,459,15.3
72,Navy (Patriot),31,18-13,355,11.5
7,NC State (ACC),33,23-10,314,9.5
208,Nebraska (Big Ten),32,16-16,406,12.7
19,Nevada (Mountain West),32,22-10,328,10.2
11,New Hampshire (America East),30,15-15,297,9.9
211,New Mexico St. (WAC),24,9-15,305,12.7
62,New Mexico (Mountain West),33,22-11,373,11.3
352,New Orleans (Southland),32,12-20,547,17.1
107,Niagara (MAAC),31,16-15,365,11.8
278,Nicholls (Southland),31,16-15,420,13.5
316,NIU (MAC),32,13-19,458,14.3
48,NJIT (America East),30,7-23,334,11.1
244,Norfolk St. (MEAC),33,22-11,434,13.2
52,North Ala. (ASUN),32,18-14,357,11.2
35,North Carolina (ACC),33,20-13,355,10.8
78,North Dakota St. (Summit League),33,16-17,379,11.5
74,North Dakota (Summit League),33,13-20,378,11.5
162,North Florida (ASUN),31,14-17,378,12.2
122,North Texas (C-USA),33,26-7,392,11.9
320,Northeastern (CAA),30,10-20,432,14.4
37,Northern Ariz. (Big Sky),35,12-23,378,10.8
129,Northern Colo. (Big Sky),32,12-20,382,11.9
70,Northern Ky. (Horizon),34,22-12,388,11.4
128,Northwestern St. (Southland),33,22-11,393,11.9
8,Northwestern (Big Ten),32,21-11,312,9.8
3,Notre Dame (ACC),32,11-21,281,8.8
28,Oakland (Horizon),32,13-19,339,10.6
32,Ohio St. (Big Ten),35,16-19,375,10.7
57,Ohio (MAC),33,19-14,370,11.2
313,Oklahoma St. (Big 12),33,18-15,468,14.2
266,Oklahoma (Big 12),32,15-17,428,13.4
60,Old Dominion (Sun Belt),31,19-12,348,11.2
159,Ole Miss (SEC),33,12-21,402,12.2
189,Omaha (Summit League),32,9-23,400,12.5
6,Oral Roberts (Summit League),34,30-4,320,9.4
269,Oregon St. (Pac-12),32,11-21,429,13.4
154,Oregon (Pac-12),33,19-14,401,12.2
110,Pacific (WCC),33,15-18,389,11.8
4,Penn St. (Big Ten),35,22-13,315,9
214,Penn (Ivy League),30,17-13,382,12.7
305,Pepperdine (WCC),31,9-22,436,14.1
54,Pittsburgh (ACC),33,22-11,369,11.2
152,Portland St. (Big Sky),31,12-19,375,12.1
212,Portland (WCC),33,14-19,420,12.7
287,Prairie View (SWAC),32,13-19,438,13.7
270,Presbyterian (Big South),32,5-27,430,13.4
184,Princeton (Ivy League),29,21-8,360,12.4
109,Providence (Big East),32,21-11,377,11.8
246,Purdue Fort Wayne (Horizon),32,17-15,421,13.2
44,Purdue (Big Ten),34,29-5,372,10.9
202,Quinnipiac (MAAC),32,20-12,404,12.6
122,Radford (Big South),33,19-14,392,11.9
307,Rhode Island (Atlantic 10),31,9-22,437,14.1
244,Rice (C-USA),33,18-15,434,13.2
82,Richmond (Atlantic 10),33,15-18,380,11.5
80,Rider (MAAC),30,16-14,345,11.5
238,Robert Morris (Horizon),33,16-17,432,13.1
74,Rutgers (Big Ten),33,19-14,378,11.5
258,Sacramento St. (Big Sky),32,14-18,427,13.3
255,Sacred Heart (NEC),33,16-17,438,13.3
199,Saint Francis (PA) (NEC),31,13-18,391,12.6
216,Saint Joseph's (Atlantic 10),33,16-17,421,12.8
148,Saint Louis (Atlantic 10),33,21-12,399,12.1
