Rank,Team,GM,W-L,Opp TO,TO,Ratio
120,UT Martin (OVC),33,19-14,426,394,1
260,Utah St. (Mountain West),34,26-8,378,411,-1
276,Utah Valley (WAC),33,25-8,418,457,-1.2
308,Utah (Pac-12),32,17-15,325,385,-1.9
123,UTEP (C-USA),32,14-18,536,505,1
340,UTRGV (WAC),32,15-17,414,514,-3.1
332,UTSA (C-USA),32,10-22,354,439,-2.7
291,Valparaiso (MVC),32,11-21,355,406,-1.6
237,Vanderbilt (SEC),34,20-14,345,368,-0.7
29,VCU (Atlantic 10),34,27-7,560,454,3.1
48,Vermont (America East),33,23-10,384,308,2.3
113,Villanova (Big East),33,17-16,370,335,1.1
118,Virginia Tech (ACC),33,19-14,361,328,1
17,Virginia (ACC),32,25-7,394,274,3.8
324,VMI (SoCon),32,7-25,339,411,-2.2
82,Wagner (NEC),28,15-13,377,335,1.5
185,Wake Forest (ACC),33,19-14,403,399,0.1
281,Washington St. (Pac-12),33,17-16,353,397,-1.3
269,Washington (Pac-12),32,16-16,413,448,-1.1
173,Weber St. (Big Sky),33,18-15,429,422,0.2
70,West Virginia (Big 12),33,19-14,483,428,1.7
178,Western Caro. (SoCon),33,18-15,361,355,0.2
115,Western Ill. (Summit League),30,16-14,353,322,1
120,Western Ky. (C-USA),33,17-16,415,383,1
337,Western Mich. (MAC),31,8-23,305,395,-2.9
253,Wichita St. (AAC),32,17-15,373,401,-0.9
243,William & Mary (CAA),33,13-20,373,398,-0.8
305,Winthrop (Big South),32,15-17,388,447,-1.8
25,Wisconsin (Big Ten),31,17-14,373,270,3.3
170,Wofford (SoCon),33,17-16,369,361,0.2
152,Wright St. (Horizon),33,18-15,434,419,0.5
247,Wyoming (Mountain West),31,9-22,346,371,-0.8
241,Xavier (Big East),34,25-9,405,429,-0.7
94,Yale (Ivy League),29,21-8,363,324,1.3
61,Youngstown St. (Horizon),33,24-9,429,368,1.8
